ADM4_EN,ADM4_PCODE,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,pop_2020,psgc
Alon,PH06061022,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,184,"06061022"
Bakiang,PH060618001,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,553,"060618001"
Binanogan,PH060618002,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,697,"060618002"
Borocboroc,PH060618003,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,838,"060618003"
Bugnay,PH060618004,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1036,"060618004"
Buluangan I,PH060618005,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1804,"060618005"
Buluangan II,PH060618006,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,486,"060618006"
Bunsod,PH060618007,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,840,"060618007"
Busog,PH060618008,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,193,"060618008"
Cananghan,PH060618009,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,294,"060618009"
Canipayan,PH060618010,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,583,"060618010"
Cansilayan,PH060618011,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,272,"060618011"
Culyat,PH060618012,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,206,"060618012"
Iglinab,PH060618013,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1139,"060618013"
Igmasandig,PH060618014,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,310,"060618014"
Lublub,PH060618015,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,996,"060618015"
Manlacbo,PH060618016,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1260,"060618016"
Pandanan,PH060618017,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1998,"060618017"
San Agustin,PH060618018,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1080,"060618018"
Takas (Pob.),PH060618019,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,1978,"060618019"
Tigmamale,PH060618020,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,891,"060618020"
Ubos (Pob.),PH060618021,Valderrama,PH060618000,Antique,PH060600000,Region VI,PH060000000,2333,"060618021"
